nm_item,nm_product
CORONITA EXTRA LN 210ML,cerveja
CERVEJA AUSTRIA LAGER  GRF 600ML,cerveja
CERVEJA TIGER PM                LT 350ML,cerveja
PEDIGREE FILHOTES RACAS PEQ 900GRS,alimento pet
ALCOOL SOL 70  1L,alcool
CHA MATTE LEAO LIMAO ZERO WF PET 300ML,cha pronto
AMAC CON CONFORT INTENSE SPORTS 1L,amaciante
MUSSARELA ITAMBE FAT 300G,queijo
C D SENSODYNE L2Ao C/50  DESC 90G,creme dental
HASTES FLEXIVEIS COTONETES      PT C/150,haste flexivel
PAO FRUTAS SEM GLUTE  350G,padaria e confeitaria industrializado
MASSA P PIZZA 2PC 300G,massa de pizza
MORT EXCELSIOR S/TOUC FAT kg,mortadela
BALA GELATINA HARIBO 100G URSINHOS OURO,bala
REQ CREM LIGHT DANONE 200G,requeijao
KIT 7 CUECAS POLO WORLD M,cueca
CHOC SNICKERS 42G-PC EDICAO LTDA PE DE MOLEQ,chocolate
FIGADO FGO AVE NOVA 800G -PC CONG,carne de ave
CAFE TRADICAO NESCAFE SACHE 50g,cafe
BOMBOM LACTA PCT 1KG  SONHO VALSA,bombom
BATATA TEX 450GR LISA,aperitivo
MOLHO TOM HEMMER 300G  TRAD,molho de tomate
FARINHA AVEIA  ALL NUTRI F.FINOS 170G,aveia e seus derivados
BLUSAO ML 3RS RSA NEON PP 31395 FMOI22,blusa
ENERGETICO RED BULL 355ML LT,energetico
PAO FORMA BAUDUCCO TRAD 400G,padaria e confeitaria industrializado
SALAME ITAL SEARA 100G FAT,salame
ZINPASS 10MG C.60 COMPRIMIDOS MEDLEY,outro farma
"ALI GATO FELIX 85G, FANT DELI CARNE",alimento pet
MAIONESE HELLMANNS SC 1KG,maionese
LIMPADOR AJAX MUL. MENTA E LAV. FC 500ML,multiuso
FEIJAO BRANCO CBS TP1 500g,feijao
MASSA B.GOSTO SEMOLA PENA       PE 500GR,macarrao
"SORVETE SOL E NEVE TRAD 1,5LT CHOCOTRI",sorvete
PAO QUEIJO SAO GERALDO TRAD 1kg,massa de pao de queijo
CERV DADOBIER EXTRA MALTE LT 350ML,cerveja
ADOCANTE LIQ LINEA 75ML SUCRALOSE,adocante
MAC INST LAMEN TOM MINIONS ISABELA 74 3G,macarrao
"COND TRESEMME 400ML GTS100ML, REC, .",condicionador
CEREAL NESTLE SNOW FLAKES MOR 230G,cereal matinal
BATATA MCCAIN CONG 400G SMILES,batata congelada
MAC RENATA 500G S/GLUT PENA,macarrao
REFRI GUA ANTARCTICA ACEROLA LT 350ML,refrigerante
PANETINI EQLIBRI 40G COTTAGE C/ERVAS,aperitivo
AMENDOCREM FUGINI 200G,outro doce
AP JANTAR DONNA LOLA OXFORD DEC 16PCS,outro utensilio de cozinha
MAC OVOS S-AMALIA 500G-PC LINGUINE,macarrao
SOBRECOXA ASSA FACIL SEARA 800GR,carne de ave
DENPHALEN P15                   AV   1UN,plantas e sementes
COX ASAS EMP APIM CONG SADIA 400G,empanado congelado
PAO DE HOT DOG MERCADO CRFO 200G,padaria e confeitaria industrializado
"SAB DOVE 90G, MICELAR, .",sabonete
CEREJA FRESCA KG SP,outra fruta
ENERGY DRINK RED BULL EDITION TROP 250ml,energetico
SALSA BLUMENAU HIDROPONICA      PE   1UN,salsa
MOSTARDA HEMMER BISNAGA 200G,mostarda
PET SUI BAN MOR MC DANONINH 480G L12P10,iogurte
UMIDITA GESTANTE LC HID CR 200ML,creme corporal
"CHOC LACTA 34G, LAKA, .",chocolate
CEREAL CORN FLAKES NESTLE 190G,cereal matinal
BISC OREO RECHEADO CHOC 36G,biscoito
DOCE DE LEITE ITALAC 350PT,outro doce
TEMP KNORR FRG ASSADO LIMA OREG 25g,tempero pronto
IOG BAUN ZERO LAC MOLICO BAN 4 UNID 360G,iogurte
POLPA NOSSA FRUTA TAMARINDO PC 400G,polpa de fruta congelada
MINI COXINHA FGO KIM 500G,petisco e salgadinho congelado
"CHA LEAO MISTO CAM, CID, MAR C/15",cha por infusao
IOG LIQ ITAMBE 1250G  MORANGO,iogurte
ARROZ INT MEU BIJU 8 GRAOS AVEIA 500G,arroz
ALIM CAO BAW WAW 50G BIFINHO DENTAL FRESH,alimento pet
PALMITO PUPUNHA TOP SUL 300G TOLETE,palmito
TOALHA UMED HUGGIES C/48  CLASSIC,lenco umedecido
AZEITE OLIVA BORGES 500ML EXTRA VIRGEM,azeite de oliva
MC ROSA BICOLOR VARIADO CF,plantas e sementes
MORTAD PERDIGAO FGO GDE KG,mortadela
CARRE CARNEIRO BELECO RESF KG,carne ovina
BISC ARROZ INT FIT FOOD LINHA QUIN 90G,biscoito
INSET. SBP 45 NTS ELET.MULT.REF.FC  35ML,repelente
G DIGOXINA 025 MG C/20 COMP PHARLAB,outro farma
FRANGO ESSE RESF PESO,carne de ave
ALECRIM UN,alecrim
TOALHA UMED  JOHNSONS LIMP SUAV C44 L4P3,lenco umedecido
"BISC TRAKINAS PCT 126G, MGO, .",biscoito
ALIM P/ CAO DOG CHOW 100GR CARN RACAS PEQ,alimento pet
TEMP COMPL S PIMENTA 300G,tempero pronto
ADRIA GRANO DURO BAVETTE 500G,macarrao
FITA ADELBRAS TRANSP P/EMPAC 48X40,fita adesiva
"MOLHO P/SALADA LIZA 234ml, CEASER",molho para salada
"GELAT ROYAL 25G, FRAMB, .",gelatina
LAVA ROU OMO PURO CUIDADO SH 9,lava roupas
SALG CHEETOS ONDA REQUEIJAO 230G,aperitivo
ARR BCO FLOR ZARI 5KG,arroz
REFRIG COCA S/ACUC 350ML- LT COLA,refrigerante
"CHA LEAO C10 2,5G ICE TEAPESSEGO",cha pronto
CB FIGADO BOVINO RESERVA KG,carne bovina
BEB MIST EASY BOOZE 269ML LT RED MINT,bebida mista
PO P/BROWNIE DR.OETKER CHOC 480G,preparo para bolo
"BISC PARATI ROSQ, NATA 300G, .",biscoito
QA FARINHA MANDIOCA BRANCA 500G,farinha de mandioca
KETCHUP HELLMANNS PIC PET SQZ,ketchup
ADOC LIQ ZERO CAL SUCRALOSE 100ML,adocante
D.A.SUAVE MEN 87G ENERGIA ATIVA,desodorante
KIT PRESENTE FACIL 15X44CM N 10,embalagem de presente
PAPEL HIG UNI C/16 FD 30M,papel higienico
SUCO DEL VALLE MAIS TP 1L PESSEGO,suco pronto
LAVA ROUP LIQ OMO 900ML ROUP FINA DELIC,lava roupas
OVO SAO JOSE CAIPIRA SERT C/10,ovo
"CHALEIRA EM INOX 2,7 LITROS",chaleira eletrica
OVO GRANDE BCO MANTIQUEIRA C12,ovo
MIST CR LEITE MOCOCA 200G TP,creme de leite
MOLHO PIM QUERO VD 150ML,molho de pimenta
TOALHA UMED PAMPERS ALOE VERA 48UN L4P3,lenco umedecido
ALHO PICADO 200G  200G,alho processado
ARROZ CAMIL 5KG PARBOILIZADO,arroz
BISC MASSALEVE CAST.PARA/CAN 150g,biscoito
PAO BRIOCHE PANEVITA 300g,padaria e confeitaria industrializado
CR DENTAL COLGATE 140G SENSITIVE,creme dental
LUVA CONFORT DANNY LATEX AZUL  M,luvas de borracha
LORATAMED 10MG 12 COMPRIMIDOS CIMED,outro farma
BIFINHO BAW WAW 50G  CAR VEG,alimento pet
CHOC NESTLE CLASSIC BISC DUO COOKIE 150G,chocolate
CHOCOBISCUIT BAUD AO LEITE TUBE 30g,biscoito
VELA CIGANA 7 DIAS FINA VERDE,vela
IOG PED DE COCO 100 100G,iogurte
SUCO DE LARANJA TROPISUCO 330ML,suco pronto
CHA OETKER CAM CAP CID HOR ERV DOC 15G,cha por infusao
AMAC ROUPA CONC DOWNY PRIMAVERA 12X1L,amaciante
PATINHO BOV PORCNDO KG RESFD,carne bovina
HAMBURG FGO/BOV PERDIGAO 56G,hamburguer congelado
QA ALV C/CLORO QUALITA 1L,alvejante
EXT TOMATE SALSARETTI 330G,extrato de tomate
CERV PATAGONIA PILSENER 473ML,cerveja
CAFE SOL MATINAL NESCAFE VD 100G,cafe
RACAO DOG CHOW SC AD.RP CAR.MOL.SC 100GR,alimento pet
MOLHO LIZA SALADA ROSE          FC 234ML,molho para salada
BISC RECH BANANISSIMA 75G BANANADA,biscoito
SUCO INTEGRAL AURORA UVA TT GASEIF.275ML,suco pronto
REPOLHO  ROXO SUGMOTO KG,repolho
DESOD BOZZANO MASC DRY AE          90G,desodorante
MORTADELA OURO PERDIGAO FATIADA 200G,mortadela
AGUA CRYSTAL 310ML S/GAS COPO,agua
MACO ALSTROEMERIA VARIADA COOPERFLORA,plantas e sementes
ALCOOL LIQ COPERALCOOL TRAD 1L,alcool
CERVEJA SKOL P.MALTE SLEEK      LT 350ML,cerveja
RACAO PEDIGREE 100G ADULTO MED/G CARNE,alimento pet
CONHAQUE PRESIDENTE MEL 900ml,conhaque
BISC.RECH.PASSATEMPO 96G BATON PCT,biscoito
AMEIXA SECA SEM CAROCO FRUIT LIFE 2,fruta seca
SAB LIQ ASEPLYNE 1L ERVA DOCE,sabonete liquido
BOBINA PLASTICA CRF 5L,saco para alimento
TOMATE PELADO POMAROLA 240G LT,tomate
"MISTURA BOLO DONA RAIZ INT 400g, LARAN",preparo para bolo
BISNAGUITO INTEGRAL PLUSVITA 300G,padaria e confeitaria industrializado
LEITE B PAST COOPER GF 1L,leite
"GELATINA ROYAL 25G, MARACUJA",gelatina
SABAO PO ALA CUIDADO DO COCO 5,lava roupas
REFEIT BISTECA SUINA APRECO KG CONG,carne suina
ISCA DE FRANGO SADIA TRAD 300G,empanado congelado
DES NIVEA 150ML AER S/ PERF FEM,desodorante
GRAO DE BICO CONSERVA CAMIL 380G,grao de bico
OVO CAIPIRA IWAMOTO C/10,ovo
AMEN PETTIZ TABASCO 40G,amendoim
OVO BCO GDE C30 AVICOLA,ovo
ALGODAO HIDROFILO CARREFOUR SOFT 25G,algodao
LEITE NATURALLE DESNATADO       TP   1LT,leite
BEB DEL VALLE FRUT GF 450ML LARANJA,suco pronto
BATATA FRITA CARREFOUR LISA 50g,aperitivo
CHOC TAB HERSHEYS COOKIE N CREME 87G,chocolate
"ENERGETICO MONSTER 473ML LT, ABSOL ZERO",energetico
DETERG. LIQ.CIF CONC.NEUTRO C/C.FC 420ML,detergente
"COUVE MANTEIGA HORTFORT, 160G PICADA",couve
GAESO 40MG C. 28 CP ACHE,outro farma
PARAFUSO OVOS 500G,macarrao
LARANJA PERA EXPRESS CRFO KG,laranja
IOG GREGO DANONE CHOC C/ MORAN 90G,iogurte
BOMB RAFFAELLO 30G-PC 3UN,bombom
REFR COCA LIGHT LT 310ml,refrigerante
CVEG CSAL CREMOSY 1KG,margarina
AP BIC TWIN SENS SENSIV 2UN,aparelho de barbear e depilatorio
ALFACE AMERICANA ORG ORGANIC WAY UN,alface
CHOC GAROTO BATON 90G-TA AO LTE SMARTIES,chocolate
POTE KREA VD C/TAMPA METAL 1l,recipientes
LAVA ROUPA BECKER 5L MULTIACAO,lava roupas
RACAO GATO SHEBA FGO ASSADO SACHE 85G,alimento pet
"BISC NUTELLA FERRERO B-READY 22,6g",biscoito
MINI TACO DE CARNE 300G NACHO,outro congelado
DOCE DE LEITE CARREFOUR ORIGINAL 400G,outro doce
MILHO VERDE CARREFOUR VAPOR 170G,milho verde em conserva
RAID ELETRICO 45 NOITES RF C/ 3 UND,repelente
CHOC.LACTA 20G SHOT AMENDOIM,chocolate
STARBUCKS 12 CAPS CAPPUCCINO 120G,cafe
BISC WAFFER AMORI MAX 87G CHOC MEIO AMAR,biscoito
CR LEITE PIRACANJUBA 200G TP Z/LACTOSE,creme de leite
REQ CHD STA CLARA  180GR,requeijao
LUVA VINIL FLEXVINIL TAM G C/100UND,luvas de borracha
EXTRATO STELLA D ORO 350G,extrato de tomate
BOWL MELAMINA SUM21 CRFH 15CM HO143159,recipientes
ASSADEIRA DE ALUMINIO CRF 7500ML,assadeira
CUP NOODLES NISSIN COSTEL C/MOL CHUR 68G,macarrao
"FANTA LAR PET 2,5L",refrigerante
SOB FLAN ITAMBE CARAMELO 400G,sobremesa pronta resfriada
SAL ROSA DO HIMALAIA KISABOR 500G,sal
BOIA PRINCESAS INFLAVEL,boia
REFRESCO PO LIMONADA SUICA MID 20G,preparo para suco
"BOMBOM Z/ACUC GOLDeKO 13,5G COOKIES/CREA",bombom
NECTAR GOIABA MAGUARY 1L,suco pronto
BISC SALG ADRIA PLUS LIFE MULTIGRAO 138G,biscoito
SAB LIQ DOVE PROTEGE CUIDA 250ML,sabonete liquido
VINHO CANCAO BORDO SUAVE 750ML,vinho nacional
BEB ISOTON NITRIX SPORT PET 500ML MARAC/MORAN,isotonico
MOSTARDA PREDILECTA SACHE 220G,mostarda
SALADETE 450 GR,tomate
BISC MARILAN 80G PAW PATROL CHOCOLATE,biscoito
PAPRICA NILMAR PICANTE 25G,outro condimento
/SONHO DC DE LEITE 60G,padaria e confeitaria fresca
BISC CAPRICCHE COOKIES BLACK 60G,biscoito
"DES PINHO SOL 2X ORI MARROM 1,75LT",desinfetante
LEITE PIRAKIDS CRESCER INT ZERO LACT 1L,leite
RACAO PEDIGREE CAR/VEG          PE   1KG,alimento pet
LIMP M-USO UAU LIMAO SIC 500ML,multiuso
DEO COL PHYTODERM SPLASH S.GIRL 200ML,colonia infantil
ENERGETICO MONSTER 473ML LT LEMON,energetico
MASSA FRONTERA TACOS TEX MEX     CX 135G,massa fresca
QA BATATA CONG PALITO QUALITA 500G,batata congelada
SANITIZ BRILHANTE L TT OF FAM BAG 2.2Kg,lava roupas
PASTA AMENDOIM AMENDOPOWER TRAD 500G,pasta de amendoim
MOLHO TOMATE E MASCARPONE MM 500G,molho de tomate
BATATA KI FRITAS 120G PREMIUM FINISSIMA,batata congelada
BISC VITORIA MARIA CHOC 400g,biscoito
AGUA MINERAL C GAS MINALBA 1500ML,agua
"DADINHO HARUS TAPIOCA 300G, TRAD, .",petisco e salgadinho congelado
CJ CP NATURE SM 6PC CRIST 270ML,copo
KIT DOVE SH 400ML COND 200ML ESP SECRETS REPARAC,kit para cabelos
"MANTEIGA EXTRA COM S  0,200",manteiga
BISC PIRAQUE 60G CEBOLA E SALSA,biscoito
BOLINHO BAUDUCCO 27G DUO CHOC,padaria e confeitaria industrializado
"LAVA ROUPA PO BRILHANTE CX 1.6Kg, L TOT",lava roupas
COND MONANGE HIDRATA HIDRAT 325ML,condicionador
BATATA PRINGLES 120G CREME CEBOLA,aperitivo
"CAFE ESPRESSO NESCAFE FARM 54g, 3 AMERIC",cafe
SPLIT SPRINGER HW FIXO F 12000BTUS,ar condicionado
"POPCORN YOKI MICRO 90g, NATURAL",pipoca para microondas
CHOC LACTA BUBBLY 110G TAB AERADO,chocolate
MORTADELA PERDIGAO FRANGO 400 G,mortadela
SAND HAMB CARREFOUR CARNE C CHEDDAR,hamburguer congelado
"CREME PENT INF SEDA JUNT 300ml, CACH ENC",creme para pentear
BOLSA PASC MONTEVERG 55G,chocolate
FAR MILHO AMAR MARPA 1KG,farinha de milho
WHISKY OLD PARR 12ANOS 1L,whisky
PETIT SUISSE CHAMBINHO 320G MORANGO,iogurte
BISC RECH PASSATEMPO MOR 130g,biscoito
PACOQUITA STA HELENA ROLHA 150G,pacoca
PAO SOVADAO 350g,padaria e confeitaria industrializado
VH MONTESUR RSV ESPECIAL CARMEN,vinho importado
BISC WAFFER PIRAQUE 100G BRIGADEIRO,biscoito
CHOC GAROTO CAST CAJU 90G,chocolate
"BISC RANCHEIRO WAFER 78G, LIMAO",biscoito
G CEFALEXINA 500MG C/8 COMP EMS,outro farma
COXINHA DA ASA JAGUA 1KG IQF,carne de ave
LINDOR SINGLES AO LEITE AVELA 100G,chocolate
CHOC KINDER TRONKY T1 18G,chocolate
DESOD SECRET GEL PH BALANCED LAVEND  45G,desodorante
GELEIA SEM ACUCAR MORANGO MM 330G,geleia
ORQ CATTLEYA PT12 PT12,plantas e sementes
PAPEL HIG PLUSH 20M C/24UN,papel higienico
M.BRIOCHE C/PARMESAO KG,padaria e confeitaria fresca
TORRONE WA1 17G,outro doce
REFRESCO CLIGHT TANGERINA 8G,preparo para suco
LING TOSC NABRASA PERDIGAO,linguica
EXTRATO TOMATE VAL POUCH 300g,extrato de tomate
AMEIXA IMPORTADA,ameixa
PAPEL HIG MILI SOFT COMF FD 30M C18,papel higienico
PAPEL HIG NEVE F.D 20M NEUT TOQ SED C/18,papel higienico
"LIMP VEJA LIMP PESADA 500ML, ORIGINAL",multiuso
TALHERES AVULSO IPANEMA PTO TRAMONTINA,talher
SH SEDA 425ML PUREZA DETOX,shampoo
TORTILHA FRONTERA 125G PICANTE,aperitivo
CERVEJA DADO BIER LAGER         GF 355ML,cerveja
GUARD SULLEG 31X31CM L100P90,guardanapo
"REQUEIJAO BATAVO 200g, TRAD",requeijao
MINI BOLO JACQUET 25G CR AVELA,padaria e confeitaria industrializado
"SNACK CHEEZ-IT 29g, PARMESAO",aperitivo
SOBREM YOPRO 160G-PT 15G PROTEIN NAT,iogurte
"MUCILON NESTLE 400g, MULTICEREAIS",cereal infantil ou farinha lactea
SH HEADeSHOULDERS ANTI COCEIRA 400ml,shampoo
MANT BATAVO 200G TAB S/SAL,manteiga
CUBOS DE COSTELA SWIFT 500G,inativo
REFRESCO TANG PC 18G UVA,preparo para suco
ROTHMANS RED BOX,cigarro
POLENTA PALITO MELHOR CONG PCT 300g,polenta
"TEMP SAZON 60G, MASSAS, .",caldo industrializado
CHOC SNICKERS MARACUJA 42G,chocolate
KALIPTO OLEO EUCALIP 120ML,aromatizador
GOIABADA B CASC 400G  400G,goiabada
BUSONID 32MCG 6ML NASAL C/120 DOSES ACHE,outro farma
EMPD FGO NUGGETS SADIA 300G-CX TRADICONAL,empanado congelado
QA NECTAR MANGA QUALITA  1L,suco pronto
MELANCIA MAGALI TURMA DA MONICA KG,melancia
IOGURTE YOPRO POUCH MORANGO 160G,iogurte
PILHA DURACELL ALCALINA PALITO AAA C/4,pilha
BISC CLUB SOCIAL RECH INT REGUEIJAO 106G,biscoito
DETERG IZABELLA MACA VERM 500ML,detergente
LASANHA MARICOTA 500G CALABRESA,lasanha congelada
MAC SEMOLA BASILAR 500G A.MARIA,macarrao
EXTRATO TOMATE ELEFANT TP 540G,extrato de tomate
"SORV PREMIATTO 1,8L-PT LEITE TRUFADO",sorvete
SACO FREEZER ZIPLOC HERMET GR 19X12,saco para alimento
LAVA ROUPAS LIQ OMO LAVANDA RF 900ML,lava roupas
LING CALAB PERDIGAO 400G,linguica
MASSA LASANHA PETYBON 200g,macarrao
PAO VOVO TINA FORMA INT 400G,padaria e confeitaria industrializado
G OLMESART MEDOX HCT 40 25MG C30CP EURO,outro farma
"SABONETE EVEN SUAVE 85g, FLOR PESS/MAR",sabonete
DESODOR GLADE 12ML RF TQ LAV 50  DES 2UN,aromatizador
ACAI CONG FROOTY GRANOLA PT 200ML,acai
HASTE FLEX TOPZ C300,haste flexivel
"DESINF BARBAREX 2L, FLOR CAMPO",desinfetante
CR DENTAL COLGATE 90G PRO ALIVIO GENGIVA,creme dental
CR DENT SENSODYNE 90G ORIGINAL,creme dental
FORMA DESC ALUM BOMPACK 4L OVAL,outro descartavel de casa
LIMP CON VEJA CLORO ATIVO 1LT DESC,multiuso
MEIO DA  ASA TULIPA SWIFT 1 KG,carne de ave
SOBCOXA FGO A GRANEL RESF KG,carne de ave
G CIPROFIBRATO 100 MG C/30 COMP EUROFARM,outro farma
QJ AZUL TIROLEZ KG PAS,queijo
AP DEPIL GILLETTE VENUS SUAVE 2UN SENSITIVE,aparelho de barbear e depilatorio
AMAC MON BIJOU MAIS PERFUME 1 7L,amaciante
CAFE NESCAFE TRADICAO           VD 230GR,cafe
TADALAFILA MEDLEY GEN 20MG           4CP,outro farma
AP DEPIL PRESTO UG2 MOV FEM 2UN,aparelho de barbear e depilatorio
VIN ESPH ELEGIDO BARCEL 750ML TEMPRANIL ROSE,vinho importado
CAFE 3 CORACOES PORTI PENEI CAPS CX C/10,cafe
KIT DOVE SH 400ML COND 200ML PR ESP OLEO NUTRITIVO,kit para cabelos
PANO LIMPA TUDO ESFREBOM ALTO DESEMP C/2,pano para limpeza
MOELA FGO KG RESFD,carne de ave
MILKA OREO BROWNIE 100G,chocolate
LEITE LV NILZA 1L MID DESNAT,leite
BISC.PAULI SEQUILHO S/GLUTEN    PE 220GR,biscoito
"AMAC ROUP CONC DOWNY 1,5L 4X BRISA VERAO",amaciante
BATATA PALHA FRITHAIS 80G-PC EXTRA FINA,vegetal em palha
QUEIJO MUSSARELA TIROLEZ FATIADO 150G,queijo
FRALDA  DESC PAMPERS PANTS XXG C/12,fralda
PORTA FILT 3 CORACOES GDE 103,outro bazar e departamentos
STEAK DE FRANGO LAR 100GR,empanado congelado
"SABAO BARR YPE 5X200G, MULT ATIVO, .",sabao em pedra
QUEIJO MUSSARELA TIROL RAL.     AV    KG,queijo
KT6 MEIA OPP COL MAS COLOR 39A43,meia
SAB LIQ PALMOLIVE SUAVIDADE D 650ML,sabonete liquido
CARGA MACH 3 TURBO 2un,aparelho de barbear e depilatorio
REQ TIROLEZ 200G TRAD,requeijao
ACESS P/CAB LAVYA,outro acessorio para cabelos
BALA BUTTER TOFFEES 100G CHOKKO MENTA,bala
LING TOSC PERD NA BRASA ATC KG,linguica
KETCHUP HEINZ TRADICIONAL 567G,ketchup
SALG KERUS 43G CHURRASCO,aperitivo
LAVA LOUCA LIQ MINUANO 500ML  MACA,lava roupas
LTE FERM DESN BETANIA 850G,leite fermentado
D.A.NIVEA 200ML BLACK WHITE EMB.ECONOMICA,desodorante
GUARDANAPO SCOTT 29X30          PCT C/50,guardanapo
PIMENTAO BLOCK VERME 150G,pimentao
GELATINA PREDILECTA MORANGO 30G,gelatina
QUEIJO PRATO PRESIDENT 150G-BJ FAT,queijo
FARINHA TRIGO NITA 1KG,farinha de trigo
VIN NAC ARROIO 750ML TTO SECO,vinho nacional
PIZZA REZENDE CALABRESA 460g,pizza congelada
IOG GREGO DANONE 90G BLUEBERRY,iogurte
NECTAR MAGUARY 1L GOIABA,suco pronto
EXTRATO TOMATE ELEFANTE LT 130 GR,extrato de tomate
BISC COOKIE ALPINO 60G,biscoito
MARGARINA SEARA CREMOSY C SAL PT 250G,margarina
SORVETE KIBON CHICABON CHOC ZERO  800ML,sorvete
CALDO MANDIOQUINHA FGO SWIFT 350G,caldo industrializado
MANJUBA BOCA TORTA 88 125G-LT MOLHO TOM,proteina em conserva
CHOC PO NEST 200G DOIS FRAD 70  CACAU,chocolate em po
BISC COOKIE TODDY CHOCO XTREME 71G  BAUN,biscoito
SAB LIVY ENERGIA FR VERM 85G,sabonete
CHIN FEM HAV SLIM DISNEY VRM 37 38,chinelo
IOG LIQ BATAVO 1.15KG GRAVIOLA,iogurte
SABAO EM BARRA GIRANDO SOL 100G COCO DE BABACU,sabao em pedra
CORACAO ALCATRA BOV FRIBOI PORCAO REF KG,carne bovina
BATATA LAYS 80G CLASSICA,aperitivo
PAO DOCE GULA COCO KG,padaria e confeitaria fresca
DESOD NIVEA AE 200ML MASC PROTEC TEC,desodorante
PAO MEL BAUDUCCO ESPECIAL 240G,padaria e confeitaria industrializado
LAVA ROUP LIQ OMO 900ML REF. ECONOM LAVAG PERF,lava roupas
PAO QJO KG,massa de pao de queijo
DESINF AERO LYSOL BRISA MANHA 354G,desinfetante
ALECRIM MACTOST FOLHAS          CT  15GR,alecrim
SALGAD LOBITS QUEIJO 45g,aperitivo
DORIL ENXAQUECA C4 CPR HYPERA,outro farma
MANT FRIMESA 200G EXTRA S/SAL,manteiga
"CHOCOLATE LACTA 201,6G BISAO CHOCOLATE",chocolate
LINGUICA CUIABANA SUINA SWIFT 900G,linguica
BISC MARIA TRAD VITARELLA PC 350G,biscoito
"QUEIJO SADIA SOLTISS FAT 200G, MUSS, .",queijo
MASSA FRESCA KUME 1Kg,massa fresca
MANDIOQUINHA BANDEJA,mandioquinha
BISC PASSATEMPO WAFER MINI PC 20G CHOCOLATE,biscoito
"SABONETE REXONA ANTIB 84G C/6, BAMBOO",sabonete
POLPA SHUPS TANGERINA 100G,polpa de fruta congelada
VASSOURA NOVICA BETTANIN S/CABO ORIGINAL,vassoura
COXINHA ASA SADIA BIO IQF        PCT 1KG,carne de ave
PIMENTA MALAGUETA HORTIFRUTI FAMILIA120G,pimenta
LAVA ROUPAS ARES 1KG,lava roupas
AMAC CONC FOFO CHEIRINHO NATUREZA 500ML,amaciante
DESOD AERO SUAVE LAV ERVA DOCE 200ML,desodorante
VALDA PASTILHA FRIENDS CAFE 25G,bala
COMINHO B.GOSTO GRAO            PT  18GR,outro condimento
CIFLOGEX MENTA-LIMAO C 12 PAST CIMED,outro farma
SUCO NAT ONE 300ML-INTEG LAR REFRD,suco pronto
CAFE LOR 50G STAND UP SOLUV POUCH INTENSE,cafe
PURE FRUT PICME MOR MAC POUCH 100G,alimento pronto de bebe
GASTROL SUSPENSAO C/250ML NEO QUIMICA,outro farma
OLEO SOJA SOYA 900ML,oleo vegetal
MINI CHICKEN PERDIGAO CX 275G QUEIJO,empanado congelado
CREME DE CHOC CREAM CHOC IOIO 180G,outro doce
KIT SHAM COND 450ML EICO CABELOS LONGOS,kit para cabelos
IOG LIQ COCO DANONE 1250G,iogurte
BISC RECHE KELLOGGS SUCRILHOS CHOCO 105G,biscoito
OVO PASC ERLAN 160G ZERO ACUC AO LEITE,ovo de pascoa
SABAO PASTA ASSOLAN 500G,sabao em pasta
DORI REGALIZ FLOR 12X85G,bala
AMAC GIRANDO SOL CLASSIC FLORAL AZUL 5L,amaciante
LIMP M USO VEJA FLORAL 500ML 10 DESC,multiuso
LEITE LVIDA CAMPONESA 1L-TP ZERO INTEG,leite
BISC LOWCUCAR LEITE Z/A 140G,biscoito
ASSADEIRA RETANG C/ TAMPA 4LT,assadeira
MANT PRESIDENT 250G MOTTE C/SAL,manteiga
PAO DE MEL ESPECIAL 240G,outro doce
MELOXICAM EURO 15MG C/10CPR (G),outro farma
LINGUICA PARA CHURRASCO KG,linguica
GRANULADO CROCANTE 130G DR.OETKER,cobertura pronta
ESPUMA BARBEAR G.PRESTO.SENSIV. FC  56GR,espuma ou gel de barbear
LING FGO PETISC 500G MAURIC 500G,linguica
SARD GOMES COSTA LIMAO 125G,proteina em conserva
SOBR CHANDELLE BJ 540G L P- CHOCOLATE,iogurte
CERVEJA CARACU LN 355ml,cerveja
COXA SCX FGO AVE SERRA RESF BDJ 700g,carne de ave
NUTRILON BAN/MAC SE 230G,cereal infantil ou farinha lactea
BISC CLUB SOCIAL 144g,biscoito
QUEIJO PRESIDENT TIPO GRUYERE       160G,queijo
WAFER MINUETO 105G MEGA PCT RECH CHOCOLATE,biscoito
MILHO VERDE CAISP 900G,vegetal higienizado e processado
SAB JOHNSON 80G AMENDOAS,sabonete
COXINHA LAR ASA CONG IQF PCT 1 KG,carne de ave
SH PANTENE ANTIRESIDUOS LIMP PROF 400ML,shampoo
LING SUINA SADIA CG KG,linguica
ANEIS CEBOLA BEM BRASIL PC 1.05KG,empanado congelado
PACK TORRONE 60GR,outro doce
BELVITA CACAU E CEREAIS 75G,biscoito
CAFE CABOCLO 250G SW TRADICIONAL,cafe
PAPEL HIG FD MIMMO COMP NEUTRO C12 30M,papel higienico
CHOC MILKA 100GR WHOLE HAZELNUT,chocolate
BEB C/SUCO MAGUARY 1L GOIABA,suco pronto
MASSA MEZZANI P/PASTEL ROLO 500G,massa fresca
"MACARRAO INST VELLY 63g, CARNE",macarrao
REFRESCO DAFRUTA LARANJA 200ml,suco pronto
SUCO BONBON UVA 12X235ML,suco pronto
COB CREM SABOR REQ BISN SULMINAS 250G,cobertura pronta
PUDIM DIET CARAMELO 25G,preparo para pudim
PASSATA POMAROLLA SACHE 300G,molho de tomate
SHA MONANGE LISOS TE QUERO 325ML,shampoo
